SYMBOL,NAME OF COMPANY
"Ghar Finance & Leasing Co.Ltd.,",GHARFIL
Himatsingka Motor Works Ltd.,ZHIMATMO
Infomedia Press Limited,INFOMEDIA
Hathway Bhawani Cabletel & Datacom,HATHWAYB
Pressman Advertising Limited,PRESSMN
Gufic BioSciences Ltd.,GUFICBIO
"Midland Industries & Leasing Ltd.,",MIDLIND
Photon Capital Advisors Ltd,PHOTON
"Grover Leasing Ltd.,",GROVERLE
"Haji Manzoor Alam Industries Ltd.,",HAJIMAN
Oswal Leasing Ltd.,OSWALEA
ARI Consolidated Investments Ltd.,ARICONS
Modistone Limited,MODISTO
Dunlop India Ltd.,DUNLOP-B1
Govind Rubber Ltd,GOVINDRU
GRP Limited,GRPLTD
Indag Rubber Ltd.,INDAG
Kerala Rubber & Reclaims Ltd.,ZKERARUB
M.M. Rubber Company Ltd.,MMRUBBR-B
PTL Enterprises Ltd,PTL
TVS Srichakra Ltd.,TVSSRICHAK
Swastik Rubber Products Ltd.,SWASRUB
Vikrant Tyres Ltd.,VIKTY
Amzel Automotive Ltd.,AMZLAUT
Electric Control Gear (India) Ltd.,ECGIL
Andhra Pradesh Tanneries Ltd.,APTANN
Wopolin Plastic Limited,WOPOLIN
Sanathnagar Enterprises Limited,SEL
Benares Hotels Ltd,BENARAS
Graphic Charts Ltd.,BELLGRP
Bhagwati Oxygen Ltd.,BHAGWOX
Bihar Air Products Ltd,ZBIHAAIR
BOMBAY OXYGEN INVESTMENTS LIMITED,BOMOXY-B1
Cravatex Ltd.,CRAVATEX
Bombay Paints Ltd.,BOMPAINT
"Britelite Carbon Ltd.,",BRITCAR
Berger Paints India Ltd,BERGEPAINT
Caprihans India Ltd.,CAPRIHANS
Graphite India Ltd.,GRAPHITE
Carona Ltd.,CARONA
ITD Cementation India Ltd,ITDCEM
Centron Industrial Alliance Ltd.,CTRNIND
Dolphin Hotels Limited,DOLPHOT
DSP Merrill Lynch Ltd,DSPML
Empire Industries Ltd.,EMPIND
Falcon Tyres Ltd.,FALCONTQ
"Eastern International Hotels Ltd.,",EASTHOT
"G.Claridge & Co. Ltd.,",GCLARIDDM
Graviss Hospitality Ltd,GRAVISSHO
Gammon India Ltd.,GAMMONIND
GARWARE TECHNICAL FIBRES LIMITED,GARFIBRES
Garware Marine Industries Ltd.,GARWAMAR
Goa Carbon Ltd.,GOACARBON
Govind Poy Oxygen Ltd.,ZGOVPOOX
Hardcastle & Waud Mfg. Co. Ltd.,HARDCAS
Hilton Rubbers Ltd.,HLTNRUB
Hindustan Dorr-Oliver Ltd.,HINDDORROL
HEG Ltd.,HEG
Hindustan Composites Ltd,HINDCOMPOS
Hindustan Housing Co. Ltd.,ZHINDHSG
"Hindustan Oxygen Gas Co. Ltd.,",HINDOXG
"Hotel Banjara Ltd.,",HOTBENJ
HIL Limited,HIL
India Foils Ltd,INDIAFOI
Indian Card Clothing Ltd,INDIANCARD
DGP Securities Ltd,DGPSEC
"Gestetner (India) Ltd.,",GESTETQ
Kodak India Ltd,KODAKDM
International Conveyors Ltd.,INTLCONV
Siemens VDO Automotive Ltd.,VDOINDIA
Jay Shree Tea & Industries Ltd.,JAYSREETEA
Bhuruka Gases Ltd.,BHURUKA
Kothari Industrial Corpn. Ltd.,KOTIC
Mandovi Pellets Ltd.,MNDVPEL
Modern Shares and Stockbrokers Ltd.,MODRNSH
Mapro Industries Ltd,MAPROIN
Oseaspre Consultants Ltd.,OSEASPR
"New India Industries Ltd.,",NEWINDI
HUHTAMAKI INDIA LIMITED,HUHTAMAKI
"Poona Industrial Hotel Ltd.,",POONHOTDM
Premier Synthetics Ltd.,PREMSYN
Punjab Woolcombers Ltd.,PUNWOOLC
R.J. Shah & Co. Ltd.,RJSHAH
Roplas (India) Ltd.,ROPLAS
Shah Construction Co. Ltd.,SHAHCON
Shalimar Paints Ltd.,SHALPAINTS
Sinnar Bidi Udyog Ltd.,SINNAR
Siporex India Ltd,SIPORDM
Hindoostan Mills Ltd.,HINDMILL
Southern Gas Ltd.,ZSOUTGAS
Technojet Consultants Ltd.,TECHCON
"Shri Vijayvallabh Holding Ltd.,",ZSHVIJAY
Supreme Industries Ltd.,SUPREMEIND
Thacker & Co. Ltd.,THACKER
Trade Wings Ltd.,TRADWIN
TCI Industries Ltd.,TCI-B1
U.P. Hotels Ltd.,UPHOT
VST Industries Ltd.,VSTIND
UB Engineering Ltd,UBENGG
Swasti Vinayaka Synthetics Ltd.,SWASTIVI
Madhusudan Securities Ltd,MADHUSE
Yamini Investments Company Limited,YAMNINV
Premier Capital Services Ltd.,PREMCAP
MILGREY FINANCE & INVESTMENT LTD,ZMILGFIN
Subway Finance & Investment Co. Ltd,ZSUBWAYF
Gulf Oil India Ltd,GULFODM
Asia Pacific Investment Trust Ltd.,NAGPINV-B
Integrated Finance Company Ltd.,INTEGFIN
Jindal Drilling & Industries Ltd.,JINDRILL
Arco Leasing Ltd.,ZARCOLEA
"DCL Finance Ltd.,",DCLFIDM
Standard Medical Pharmaceuticals Lt,STDMDCH
Kusam Electrical Industies Ltd.,KUSUMEL
Ranakpurji Exports & Industries Ltd,RANAKEX
P.L. Finance & Investment Ltd.,FLFININ
"Vijaya Leasing Ltd.,",VIJAYLE
Jumbo Finance Ltd.,JUMBFNL
Aplaya Creations Limited,APLAYA
Sakthi Finance Ltd.,SAKTHIFIN
Dewan Housing Finance Corpn. Ltd.,DHFL
EASY FINCORP LIMITED,EASYFIN
Sat Industries Ltd,SATINDLTD
Teletek India Ltd,ZTELETEK
Maa Jagdambe Tradelinks Limited,MAAJTL
CIFCO Finance Limited,CIFCO
JMD Ventures Limited,JMDVL
Tivoli Construction Ltd.,TVOLCON
"Nivena Estate And Finance, Ltd.,",NIVEF
Shiva Texyarn Ltd.,SHIVATEX
V.B.Desai Financial Services Ltd,VBDESAI
Valuemart Retail Solutions Limited,VALUEMAR
Quadrant Televentures Limited,QUADRANT
First Custodian Fund (India) Ltd.,1STCUS
"Dugar Finance India Ltd.,",DUGARFNDM
Galaxy Consolidated Finance Ltd.,GALAXCP
Kamanwala Housing Construction Ltd,KAMANWALA
Kothari World Finance Limited,KOTHARIFIN
Bajrang Finance Ltd.,BAJRFIN
Santogen Exports Ltd.,SANEX
Asya Infosoft Limited,ASYAINFO
WSFX Global Pay Limited,WSFX
Remi Securities Ltd.,REMITR
Anjani Foods Limited,ANJANIFOODS
South Asian Financial Exch. Ltd,SAFIN
Shriram Investments Ltd,SHRIRAMI
Elcon Finlease & Industries Ltd.,ELCONFN
RKD AGRI & RETAIL LIMITED,RKDAGRRTL
Parshwanath Corporation Limited,PARSHWANA
Shoppers Investment & Finance Co. L,SHOPINV-B
RAJVI LOGITRADE LIMITED,RAJVI
Millennium Online Solutions (India) Ltd,MILLENNIUM
Canshare (Unit of CANBANK),ZCANSHR
ICDS Ltd.,ICDSLTD
Can Fin Homes Ltd.,CANFINHOME
Munoth Capital Market Ltd,MUNCAPM
IL & FS Investment Managers Ltd.,IVC
Basil Infrastructure Projects Limited,BASILINF
Leafin India Ltd.,LEAFIN
Shriram Finance Limited,SHRIRAMFIN
Candouble (Unit of CANBANK),CANDBLE
Tata Finance Ltd,TATAFIN
Cholamandalam Investment and Finance Company Ltd,CHOLAFIN
BOMBAY TALKIES LIMITED,BOMTALKIES
Sagar Systech Ltd.,SAGARSYST
ID INFO BUSINESS SERVICES LTD.,IDINFO
GIC Rise I (Reg)   open ended not.58909/2000,GICRISE
GIC Rise I-(Cum) open ended not.58909/2000,GICRIBO
"Nedungadi Bank Ltd.,",NEDBKDM
KMF Limited,KKUMTFN
CFL Capital Financial Services Ltd.,CEATFIN
Kirloskar Investment & Finance Ltd.,KIRIF
Mefcom Agro Industries Ltd,MEFCOM
CRB Capital Markets Ltd.,CRBCAP-B1
GRUH Finance Ltd,GRUH
Global Finance Corporation ltd.,GLOBFIN
Pal Credit & Capital Ltd.,PALCRED
Premium International Finance ltd.,PREMINT
GIC Big Value (Cum),GICCUBN
Radico Khaitan Finance Ltd.,RADKHFI
Ind Moti,INDMOTI
Alpic Finance Ltd.,ALPICFIN
VLS Finance Limited,VLSFINANCE
Sanmac Motor Finance Ltd,SANMACDM
Apple Credit Corporation Ltd,APPLECREDT
Ucil Leasing Ltd,UCILLEA
Synergy Financial Exchange Limited,SYNRGFN
India Cements Capital Limited,INDCEMCAP
Kailash Auto Finance Ltd,KAILASH
AD-Manum Finance Ltd,ADMANUM
Vishwamitra Financial Services Limited,VISHWAFIN
Meglon Infra-Real (India) Ltd.,MEGLON
First Financial Services Ltd,FIRFIN
Vatsa Corporations Ltd.,VATCO
Jenson & Nicholson Financial Serv.L,JNFSL
Concert Capital ltd.,CONCCAP
Mehta Integrated Finance Ltd.,MEHIF
Fidelity Finance Ltd,FIDLFIN
Harvest Financials Ltd.,HARVFINDM
Burr Brown (India) Ltd.,BURBR
IFB Finance Ltd.,IFBFINADM
Videocon Industries Ltd.,VIDEOIND
Inter Globe Finance Ltd.,INTRGLB
DFL Infrastructure Finance Limited,DFLINFRA
Bala Techno Global Limited,BALATECGL
MUNOTH COMMUNICATION LIMITED,MCLTD
Mercard Ltd.,MERCARD
SHRISTI INFRASTRUCTURE DEVELOPMENT CORPORATION LTD.,SHRISTI
CREST VENTURES LIMITED,CREST
Websity Infosys Ltd.,WEBSITY
Leasing Finance India Ltd.,LEASIFN
Pine Animation Limited,PINEANIM
Schematic Finance Ltd.,SCHEMFN
ATN International Ltd.,ATNINTER
Integrated Enterprises (India) Ltd.,INTEGENT
Vakrangee Limited,VAKRANGEE
Insta Finance Limited,INSTAF
Coimbatore Lakshmi Investment & Fin,COIMLAK-B
Gujarat Credit Corporation Ltd.,GUJCRED
ICICI Premier         [Units of ICI,ICICIPR
V G P Finance Limited,VGPFINC
Sylph Technologies Ltd,SYLPH
Dharani Finance Ltd.,DHARFIN
Alexander Stamps And Coin Limited,ALEXANDER
Rushabh Capital & Financial Service,RUSHBCP
Shukla Data Technics Ltd.,SHUKDTA
Indbank Merchant Banking Services L,INDBANK
Birla Century Finance Ltd.,BIRCFDM
Chemox Securities Ltd.,CHEMXSC
Thapar Finance Ltd.,THAPRFN
Gandhinagar Leasing And Finance Ltd,GANDLEA
SHRYDUS INDUSTRIES LIMITED,SHRYDUS
Yule Financing & Leasing Co. Ltd.,YULEFIN
Arihant Corporation ltd.,ARIHCOR
Bharat Bhushan Share & Commodity Brokers Ltd.,BHARAT
Secure Earth Technologies Limited,SECEARTH
Capital Trust Ltd.,CAPTRUST
Ushakiran Finance Ltd.,USHAKIRA
Vivo Bio tech Ltd.,VIVOBIOT
Moneycare Finanz ltd.,MONEYCF
Sarla Credit And Securities Ltd.,SARLCRD
SSL (India) Ltd.,SSLINDI
Suraj Securities & Finance Ltd.,SURAJSC
Tulip Finance Ltd.,TULIPFIN
Veerhealth Care Limited,VEERHEALTH
Pan India Corporation Ltd,PANINDIAC
Lalbhai Finance Ltd.,LALBHFN
Asia Pacific Financial Services Ltd,APACFIN
Sahara HousingFina Corporation Ltd.,SAHARAHOUS
NDA Securities ltd.,NDASEC
Supra Trends Limited,SUPRATRE
Platinum Finance Ltd.,PLATIFN
GSB Finance Ltd.,GSBFIN
Kiev Finance Ltd,KIEVFIN
Morarka Finance Ltd.,MORARKFI
Monarch Networth Capital Limited,MONARCH
Onida Finance Ltd.,ONIDA
Pro Fin Capital Services Ltd,PROFINC
Punsumi Foils & Components Ltd.,PUNSUFO
Times Guaranty Ltd.,TIMESGTY
Ind Navratna,INDNAVR
Sanchay Finvest Ltd,SANCF
Source Financial Services Ltd.,SOURFIN
Som Datt Finance Corporation Ltd.,SODFC
Arihant Mangal Growth Scheme-CRB,CRBARIH
Amrut Credit Corporation (India) Lt,AMRUTCR
Savani Financials Ltd.,SAVFI
Kinjal Finance Ltd,KINALFN
BEFOUND MOVEMENT LIMITED,BEFOUNDMOL
Ambuja Shipyard & Software Ltd,AMBSECU
Avonmore Capital & Management Services Limited,AVONMORE
Shrachi Securities Ltd,SHRACHI
Libord Finance Limited,LIBORDFIN
Palsoft Infosystems Ltd.,PALSOFT
Raunaq Finance Ltd.,RAUNAFI
Yash Management & Satellite Ltd.,YASHMGM
Arihant Capital Markets Ltd.,ARIHANTCAP
Birla Shloka Edutech Limited,BIRSHLEDU
ISL Consulting Ltd,ISLCONSUL
DCM Financial Services Ltd.,DCMFINSERV
Harvic Management Services (India),HARVIC
ICICI Power           [Units of ICI,ICIPOWRDM
JIK Industries Ltd,JIKIND
Ganipitak Yakshraj Caplease Ltd.,GANITAK
Taurus The New Share,TAURUSN
BCL Financial Services Ltd.,BCLFSER-B
R.R.Financial Consultants Ltd.,RRFIN
FEDDERS HOLDING LIMITED,FEDDERSHOL
Sambhaav Media Ltd.,SAMBHAAV
Olympic Management & Financial Serv,OLYMTFI
Dugar Housing Developments Limited,DUGARHOU
DJS Stock & Shares Ltd.,DJSSS
Madhur Capital & Finance Ltd.,MADHURC
Sanghi Corporate Services Ltd.,SANGHCO
Wisec Global Ltd.,WISEC
Omega Interactive Technologies Ltd.,OMEGAIN
Vijayshree Capital & Finance Ltd.,VIJACAP
Atash Securities Ltd.,ATASECU
Cvil Infra Ltd,CVILINFRA
Gemmia Oiltech (India) Ltd,GEMOIL
Sugal & Damani Share Brokers Ltd.,SUGALDAM
Cyberspace Infosys Ltd.,CYBERSPACE
Nettlinx Ltd.,NETTLINX
Premium Capital Market & Investment,PREMCAPM
A.J.Brothers Ltd.,AJBRO
BGIL Films & Technologies Ltd,BGIL
Mangal Finance Ltd.,MANGFIN
Fact Enterprise  Limited,FACTENT
Adcon Capital Services Ltd.,ADCONCP
Scan Steels Limited,SCANSTL
Olympia Capitals Ltd.,OLYCAP
GIC Housing Finance Ltd.,GICHSGFIN
Damania Capital Markets Ltd.,DAMANFN
Merry Sharefin Ltd.,MRRYSFN
IFL Promoters Ltd,IFLPROMOT
Reliable Finstock Services Ltd.,RELIAFN
Mathew Easow Research Securities Lt,MATHEWE
Warner Multimedia Ltd.,WARNER
Ajcon Global Services Ltd.,AJCON
Alpine Capital Services Ltd.,ALPINFN
Chartered Capital & Investment Ltd.,CHRTEDCA
Bhagyashree Leasing & Finance Ltd.,BHAGYFN
Standard Capital Markets Ltd.,STANCAP
YOGI LIMITED,YOGI
Shree Bhikshu Foundation Ltd.,SHRIBFN
Action Financial Services (India) L,ACTIONFI
Cubical Financial Services Ltd.,CUBIFIN
Relic Technologies Ltd.,RELICTEC
Nimbus Projects Limited,NIMBSPROJ
Invigorated Business Consulting Limited,INVIGO
Athena Financial Services Ltd.,ATHENA
Capman Financials Ltd.,CAPMANFI
Somani Swiss Industries Ltd.,SOMANFN
BAID FINSERV LIMITED,BAIDFIN
Vipul Limited,VIPULLTD
K.Z.Leasing & Finance Ltd.,KZLFIN
Avasara Finance Limited,AVASARA
Pasupati Fincap Ltd.,PASUFIN
Ushdev International Ltd,USHDI
Mehta Securities Ltd.,MEHSECU
Mehta Housing Finance Ltd.,MEHTAHG
UGRO CAPITAL LIMITED,UGROCAP
FCGL Industries Ltd.,FCGL
Kasturi Finlease & Investment Ltd.,KSTRIFN
Ascent Exim (India) Ltd.,ASCENTEX
Oriental Housing Development Fin. C,ORTHGFN
Shalibhadra Finance Ltd.,SAHLIBHFI
Abirami Financial Services (India),ABIRAFN
Mansi Finance (Chennai) Ltd,MANSIFIN
Seven Hill Industries Limited,SEVENHILL
Kuber Auto General Finance & Leasin,KUBERFN
Aastamangalam Finance Limited,AASTAFIN
Muthoot Capital Services Ltd.,MUTHOOTCAP
Master Trust Ltd.,MASTERTR
Hare Krishna Investment  & Industri,HAREKIN
"Jiwa Appliances Ltd.,",ZJIWAAPP
"Vishnupriya Agro Industries Ltd.,",VISNUPR
Nilkanth Engineering Ltd.,ZNILKENG
EFC (I) LIMITED,EFCIL
"Anagram Finance Limited,",ANGFNDM
Tea Time Ltd.,TEATIME
Sobhagya Merchantile Ltd.,SOBME
Exdon Trading Co. Ltd.,ZEXDONTR
CNI Research Ltd,CNIRESLTD
Saraswati Commercial (India) Ltd.,ZSARACOM
Winro Commercial (India) Ltd.,WINROC
N.D.Metal Industries Ltd,NDMETAL
Inertia Steel Limited,INERTIAST
PH Trading Ltd.,PHTRADING
Shonkh Technologies International Ltd,SHOTI
Prism Mercantile Company Ltd.,PRISMER
Kapil Cotex  Ltd.,KAPILCO
TCC CONCEPT LIMITED,TCC
"Chemox Chemical Industries Ltd.,",CHEMXCHDM
Royal India Corporation Limited,ROYALIND
Luharuka Media & Infra Limited,LUHARUKA
Sagar Silk Industries Ltd.,SAGRSLK
Dravya Industrial Chemicals Ltd.,DRAVIND
Ventura Guaranty Ltd.,SHYAM
Sanmitra Commercial Ltd.,ZSANMCOM
WARDWIZARD HEALTHCARE LIMITED,WARDHEALTH
VISHVPRABHA VENTURES LIMITED,VISVEN
Mrugesh Trading Ltd.,MRUTR
Vishvjyoti Trading Ltd.,VISJYTR
Deccan Gold Mines Ltd.,DECNGOLD
"Boistur Commercial Ltd.,",ZBIOSTCODM
UPL Limited,UPL
Suchak Trading Ltd.,SUCHTRD
Doctors Biotech India Ltd.,DOCTORBI
Parijat Trading Ltd.,PARIJAT
Nibe Ordnance and Maritime Limited,NIBEORD
Cranes Software International Ltd.,CRANESSOFT
Four Dimensions Securities (India),ZFOURDIMDM
Saianand Commercial Limited,SAICOM
EYANTRA VENTURES LIMITED,EY
Triochem Products Ltd.,TRIPR
Nidhi Granites Limited,NIDHGRN
Proaim Enterprises Limited,PROAIMENT
Golkonda  Engineering Enterprises L,ZGOLKOND
Aviva Industries Limited,AVIVA
"Jahanri Trades & Finance Ltd.,",JAHATRADM
Kelvin Fincap Ltd,KELVINFIN
Rose Merc.Limited,ROSEMER
Twin Roses Trades & Agencies Ltd.,TWIROST
"Atulya Trades & Agencies Ltd.,",ZATULTRD
Sanchana Trading & Finance Ltd.,ZSANCHTR
ETP Corporation ltd,ETPCORP
Jayant Mercantile Co. Ltd,JAYAMEL
Signet Industries Limited,SIGIND
Ensa Steel Industries Ltd,ENSSI
Acumen Trading & Investments Ltd.,ZACUMTRD
"Wall Street Construction Ltd.,",ZWALCONS
Credential Finance Ltd,CREDNFN
Kajal Synthetics and Silk Mills Ltd,KAJALSY
Avance Technologies Ltd.,AVANCE
M LAKHAMSI INDUSTRIES LIMITED,MLINDLTD
Terraform Realstate Limited,TERRAREAL
SECUREKLOUD TECHNOLOGIES LIMITED,SECURKLOUD
Extol Commercial Ltd.,EXTCO
ABans Enterprises Limited,ABANSENT
Matra Realty Ltd,MATRAREAL
Capricorn Systems Global Solutions Ltd.,CAPRICORN
"Park Avenue Engineering Ltd.,",PARKAVN
Vama Industries Limited,VAMA
"Cherry Mercantile Co. Ltd.,",CHMERCN
Sunteck Realty Ltd,SUNTECK
"Harisiddha Trading & Finance Ltd.,",HARTF
IOL Netcom Ltd,IOLN
"Greenfield Industreis Ltd.,",GRFINDL
Prem Kutir Estates & Properties Ltd,PREMKUT
Mishka Finance and Trading Limited,MISHKAFIN
DCL Securities Limited,ZDCLSECU
Bentley Commercial Enterprises Ltd.,BENTCOM
Silver oak Commercial Ltd.,SILVERO
CORE Education & Technologies Ltd,COREEDUTEC
Vatsa Educations Ltd.,VATSAEDU
Effingo Textile & Trading Limited,EFFTXT
Sangam Exports Co. Ltd.,SANGEXP
Classic Electricals Ltd.,CLASELE
STEPHANOTIS FINANCE LIMITED,STEPHANOTIS
Prism Medico and Pharmacy Ltd.,PRISMMEDI
Finaventure Capital Ltd,FINAVENT
SPV GLOBAL TRADING LIMITED,SPVGLOBAL
Simco Trading & Finance Co. Ltd.,ZSIMCOTR
AN Global Limited,ANGLOBA
Veritas (India) Limited,VERITAS
Jaybharat Textiles And Real Estate Limited,JAYTEX
Jai Corp Limited,JAICORPLTD
Jacqart Chemical Industries Ltd,ZJQARTCH
Surana Securities Ltd,SURASEC
Nivi Trading Ltd.,ZNIVITRD
Ashirwad Capital Ltd.,ASHCAP
Meuse Kara & Sungrace Mafatlal Limited,MEUSEKARA
S P Investrade (India) Limited,SPINVEST
Swasti Vinayaka Art And Heritage Corporation Ltd,SVARTCORP
Bajaj Global Ltd,BAJGLOB
"Purva Engineers Ltd.,",ZPURVENGDM
Avon Mercantile Ltd.,AVONMERC
Media Matrix Worldwide Ltd.,MMWL
Warden Construction & Finance Ltd.,ZWARDENC
Tashi India Ltd.,TASHIND
Aroni Commercials Limited,ARONICOMM
Autoriders International Ltd,AUTOINT
N2N Technologies Limited,NNTL
Europlast India Ltd,EUROPLS
Yuvraj International Ltd.,YUVINTL
Shirpur Gold Refinery Ltd.,SHIRPUR-G
Speedage Commercials Ltd.,ZSPEEDCO
Parasrampuria Polyamides Ltd,ZPARAPLY
Bhagyanagar India Limited,BHAGYANGR
Shantai Industries Limited,SHANTAI
Sterling Biotech Ltd.,STERLINBIO
Chambal Breweries & Distilleries Li,CHMBBRW
Mansoon Trading Co. Ltd.,ZMANSOON
"Kaslow Trades & Finance Ltd.,",ZKASLOWTDM
Rosekamal Textiles Ltd.,ROSETEX
Surabhi Chemicals & Investments Ltd,SURCHIN
Bijlee Textiles Ltd.,BIJLTEX
"Netwest Finance Ltd.,",NTWSTFN
Rajlaxmi Industries Ltd.,RAJLXIN
"Trilochan Traders & Agencies Ltd.,",TRLTRAG
SG MART LIMITED,SGMART
Birla Capital & Financial Services Ltd.,BIRLACAP
AVS World Trade Ltd,AVSWLTR
Mahashree Trading Ltd.,MAHSHRE
CES Limited,CESL
Aravali Securities & Finance Ltd.,ARAVALIS
Yash Trading & Finance Ltd.,YASTF
"Leader Packaging Industries Ltd.,",LEADPKG
Linkhouse Industries Ltd.,LINKH
Magico Exports & Consultants Ltd,ZMAGICOE
Rusoday & Co. Ltd.,RUSODAY
Anukaran Commercial  Enterprises Lt,ZANUKCOM
Suniti Commercials Ltd.,ZSUNITCO
Sword-Edge Commercials Limited,SWORDEDGE
CUPID BREWERIES AND DISTILLERIES LIMITED,CUPIDALBV
Cosy Mercantile Ltd.,COSYMER
Sheraton Properties & Finance Ltd.,ZSHERAPR
Ennore Coke Limited,ENNORE
"Esquire Engineering Ltd.,",ZESQENGP
Innoventive Venture Limited,INNOVENT
Magnanimous Trade & Finance Ltd.,MAGANTR
Cressanda Solutions Ltd.,CRESSAN
STARTECK FINANCE LIMITED,STARTECK
"Delstar Commercial & Finance Ltd.,",ZDELSTCO
"Western India Industries Ltd.,",WIINDDM
Wall Street Housing & Fin.Corp.Ltd,WASTHOU
Shardul Securities Ltd.,SHARDUL
RATAN GLITTER INDUSTRIES LTD.,RATANGLI
SERA INVESTMENTS & FINANCE INDIA LIMITED,SERA
Kaytee Cotsynth Industries Ltd.,ZKAYTCOT
Bengal Steel Industries Ltd.,BENGALS
i Power Solutions India Ltd.,IPOWER
Uniworth Securities Limited,UNIWSEC
Rajsanket Realty Limited,RAJSAN
"Madalsa Agrotech Limited.,",AUROBRT
Spectacle Ventures Limited,SPECTACLE
Mercury Trade Links Ltd.,MERCTRD
Trinity Tradelink Limited,TRITRADE
Sampark Trading & Finance Ltd.,ZSAMPKTR
MTZ Polyfilms Ltd.,MTZPOLY
Nirav Commercials Ltd.,NIRAVCOM
"Deora Polytex Ltd.,",DEORAPL
Nitin Industries Ltd.,NITININ
White Hall Commercial Co.Ltd.,WHITHAL
Asutosh Enterprise Ltd.,ASUTENT
Apollo Finvest (India) Ltd.,APOLLOFI
Esquire Money Guarantees Ltd,ESQRMON
Enbee Trade & Finance Ltd.,ENBETRD
Ganon Products Limited,GANONPRO
Devinsu Trading Ltd.,DEVITRD
Innovision E-Commerce Ltd.,INNOVIS
SVC Resources Limited,SVCRES
Shri Jagdamba Polymers Ltd,SHRJAGP
Lloyds Metals and Energy Limited,LLOYDSME
Punctual Trading Ltd.,PUNCTRD
LLOYDS ENTERPRISES LIMITED,LLOYDSENT
Santowin Corporation Limited,SANTOWIN
Betex India Ltd.,BETXIND
VIRYA RESOURCES LIMITED,VIRYA
Polytex India Ltd.,POLYTEX
Dhanlaxmi Cotex Ltd.,DHANCOT
Remi Elektrotechnik Limited,REMIELEK
Oasis Securities Limited,OASISEC
Sonu Synthetics Ltd.,SONUSYN
Garnet International Limited,GARNETINT
Shalimar Productions Ltd.,SHALPRO
Amar Vanijya Ltd.,AMARVAN
Meenakshi Steel Industries Ltd.,MEENST
Varun Mercantile Ltd.,VARUNME
Vinayak Vanijya Ltd.,VINVANI
Donear Industries Ltd,DONEAR
Priyanka Udyog Ltd.,PRIYANK
Neptune Exports Ltd.,NEPTEXP
Super Sales India Ltd.,SUPER
Sequent Scientific Limited,SEQUENT
State Trading Corporation of India,STCINDIA
Bharat Commerce & Industries Ltd.,BHRATCOM
Asahi Infrastructure & Projects Ltd,ASAHINFRA
Lakshmi Trade Credits Ltd.,LKSMITR
Mahadev Corporation (India) Ltd.,MAHDECO
Kiran Overseas Exports Ltd.,KIRANTRDM
Zillion Medicare (Exports) Ltd,WORLDTR
Druckgrafen India Ltd.,DRUCGRF
Pittie Finance Ltd.,PITFI
Zenith Exports Ltd.,ZENITHEXPO
Savitri Overseas Ltd.,SAVOV
Girish Travels & Couriers Ltd.,GIRSHTR
Kohinoor Foods Ltd,KOHINOOR
Chinar Exports Ltd.,CHINEXP
Okara Leasing & Investments Ltd.,OKARLES
NEELKANTH LIMITED,NEELKANTH
Bharat Parenterals Ltd.,BHARPAR
Auroknit Exports (India) Ltd.,ARONIEP
Aditya Lime Industries Ltd.,ADITLIM
Avanti Feeds ltd.,AVANTIFEED
Ritesh Exports Ltd.,RITESEX
Gujarat NRE Coke Ltd.,GUJNRECOKE
Lynx India Ltd.,LYNXINDDM
Enviro-Clean Systems Ltd,ENVCLEN
KARMA INDUSTRIES LIMITED,KARMA
Zodiac-JRD-MKJ Ltd.,ZODJRDMKJ
Sita Enterprises LTD.,SITAENT
Pulsar International Limited,PULSRIN
Premium Industries India ltd.,PREMIND
Manbro Industries Limited,MANBRO
KEYNOTE FINANCIAL SERVICES LIMITED,KEYFINSERV
Adani Enterprises Ltd.,ADANIENT
ASTAL LABORATORIES LIMITED,ASTALLTD
Ashari Properties & Finances ltd.,ASHPROP
Haria Exports Ltd.,HARIAEXPO
Rupangi Impex Ltd.,RUPIM
Bhandari Hosiery Exports Ltd.,BHANDARI
Shri Vardhman Overseas Ltd.,SHRIVAR
Gran Heal Pharma Ltd.,GRANHPH
Orind Exports LTD.,ORINEXP
RLF Ltd.,RLF
Duck Tarpaulins ltd.,DUCTA
Indo Swiss Exports Ltd.,INDOSWI
Regent Enterprises Limited,REGENTRP
Orbit Exports Ltd.,ORBTEXP
Acquaint Exports Ltd.,ACQUATR
Savera Industries Ltd.,SAVERA
Preyanshu Exports Ltd.,PREYATRDM
Amigo Exports Ltd.,AMIGOEXDM
Stocknet International Ltd.,STOCKNET
Artillegence Bio-Innovations Ltd,ARTIBIOIN
Arihant Enterprise Ltd.,ARIHENT
Andhra Sinter Ltd.,ANDHRSI
Chrome Silicon Limited,CHROME
TATA STEEL LONG PRODUCTS LIMITED,TATASTLLP
Jeet Machine Tools Ltd.,ZJEETMAC
"Him Ispat Ltd.,",HIMISPTDM
"Himtubes Ltd.,",ZHIMTUBL
NAVA LIMITED,NAVA
Hindusthan Udyog Ltd,ZHINUDYP
ISPL Industries Ltd,ISPLIND
Remi Edelstahl Tubulars Limited,REMIEDEL
G.S. Auto International Ltd.,GSAUTO
Trans-Freight Containers Ltd.,TRANSFRE
"Sanghvi Steel Ltd.,",SANGHVI
Ferro Concrete Co.(India) Ltd.,FEROCON
Shivalik Bimetal Controls Ltd.,SBCL
Gandhi Special Tubes Ltd.,GANDHITUBE
Amforge Industries Ltd.,AMFORG
